0,2,4
750,2,4
1875,2,4
2250,2,4
3000,3,4
4125,2,4
5250,1,4
5625,1,4
6000,2,4
6750,2,4
7875,2,4
8250,2,4
9000,3,4
10125,2,4
11250,1,4
11625,1,4
12000,2,4
12375,3,4
12750,4,4
13125,3,4
14250,2,4
14625,2,4
15000,2,4
15375,3,4
15750,4,4
16125,3,4
17250,0,4
17625,0,4
18000,2,4
18750,2,4
19875,2,4
20250,2,4
21000,3,4
22125,2,4
23250,1,4
23625,1,4
24000,2,4
24375,2,4
24750,2,4
25125,2,4
25500,3,4
25875,4,4
26250,3,4
26625,4,4
27375,2,4
28125,2,4
28875,0,4
29625,0,4
30000,2,4
30375,2,4
30750,2,4
31125,2,4
31500,1,4
31875,0,4
32250,1,4
32625,0,4
33375,2,4
34125,2,4
34875,2,4
35625,2,4
36375,1,4
36375,3,4
37125,1,4
37125,3,4
37875,2,4
38250,2,4
38625,2,4
39375,1,4
39375,3,4
40125,1,4
40125,3,4
40875,2,4
41625,2,4
42000,2,4
42375,2,4
42750,2,4
43125,2,4
43500,2,4
43875,2,4
44250,2,4
44625,2,4
45000,1,4
45375,0,4
45750,1,4
46125,2,4
46500,3,4
46875,4,4
47250,3,4
47625,1,4
47625,3,4
48000,2,4
48750,2,4
49875,2,4
50250,2,4
51000,3,4
52125,2,4
53250,1,4
53625,1,4
54000,2,4
54750,2,4
55875,2,4
56250,2,4
57000,3,4
58125,2,4
59250,1,4
59625,1,4
60000,2,4
60375,3,4
60750,4,4
61125,3,4
62250,2,4
62625,2,4
63000,2,4
63375,3,4
63750,4,4
64125,3,4
65250,0,4
65625,0,4
66000,2,4
66750,2,4
67875,2,4
68250,2,4
69000,3,4
70125,2,4
71250,1,4
71625,1,4
72000,2,4
72375,2,4
72750,2,4
73125,2,4
73500,3,4
73875,4,4
74250,3,4
74625,4,4
75375,2,4
76125,2,4
76875,0,4
77625,0,4
78000,2,4
78375,2,4
78750,2,4
79125,2,4
79500,1,4
79875,0,4
80250,1,4
80625,0,4
81375,2,4
82125,2,4
82875,2,4
83625,2,4
84375,1,4
84375,3,4
85125,1,4
85125,3,4
85875,2,4
86250,2,4
86625,2,4
87375,1,4
87375,3,4
88125,1,4
88125,3,4
88875,2,4
89625,2,4
90000,2,4
90375,2,4
90750,2,4
91125,2,4
91500,2,4
91875,2,4
92250,2,4
92625,2,4
93000,1,4
93375,0,4
93750,1,4
94125,2,4
94500,3,4
94875,4,4
95250,3,4
95625,1,4
95625,3,4
